service_id,date,exception_type
L327,20231027,2
L327,20231030,2
L327,20231031,2
L327,20231101,2
L327,20231102,2
L327,20231103,2
L328,20230416,2
L328,20230423,2
L328,20230709,2
L328,20230716,2
L328,20230723,2
L328,20230730,2
L328,20230806,2
L328,20230813,2
L328,20230820,2
L328,20230827,2
L328,20231029,2
L328,20231105,2
L329,20230415,2
L329,20230422,2
L329,20230708,2
L329,20230715,2
L329,20230722,2
L329,20230729,2
L329,20230805,2
L329,20230812,2
L329,20230819,2
L329,20230826,2
L329,20231028,2
L329,20231104,2
L329,20231111,2
L330,20230415,2
L330,20230416,2
L330,20230422,2
L330,20230423,2
L330,20230708,2
L330,20230709,2
L330,20230715,2
L330,20230716,2
L330,20230722,2
L330,20230723,2
L330,20230729,2
L330,20230730,2
L330,20230805,2
L330,20230806,2
L330,20230812,2
L330,20230813,2
L330,20230819,2
L330,20230820,2
L330,20230826,2
L330,20230827,2
L330,20231028,2
L330,20231029,2
L330,20231104,2
L330,20231105,2
L330,20231111,2
L337,20230226,2
L337,20230305,2
L337,20230312,2
L337,20230319,2
L337,20230326,2
L337,20230402,2
L337,20230409,2
L337,20230430,2
L337,20230507,2
L337,20230514,2
L337,20230521,2
L337,20230528,2
L337,20230604,2
L337,20230611,2
L337,20230618,2
L337,20230625,2
L337,20230702,2
L337,20230709,2
L337,20230716,2
L337,20230723,2
L337,20230730,2
L337,20230806,2
L337,20230813,2
L337,20230820,2
L337,20230827,2
L337,20230903,2
L337,20230910,2
L337,20230917,2
L337,20230924,2
L337,20231001,2
L337,20231008,2
L337,20231015,2
L337,20231022,2
L337,20231112,2
L337,20231119,2
L337,20231126,2
L337,20231203,2
L337,20231210,2
L337,20231217,2
L337,20231224,2
L338,20230225,2
L338,20230304,2
L338,20230311,2
L338,20230318,2
L338,20230325,2
L338,20230401,2
L338,20230408,2
L338,20230429,2
L338,20230506,2
L338,20230513,2
L338,20230520,2
L338,20230527,2
L338,20230603,2
L338,20230610,2
L338,20230617,2
L338,20230624,2
L338,20230701,2
L338,20230708,2
L338,20230715,2
L338,20230722,2
L338,20230729,2
L338,20230805,2
L338,20230812,2
L338,20230819,2
L338,20230826,2
L338,20230902,2
L338,20230909,2
L338,20230916,2
L338,20230923,2
L338,20230930,2
L338,20231007,2
L338,20231014,2
L338,20231021,2
L338,20231111,2
L338,20231118,2
L338,20231125,2
L338,20231202,2
L338,20231209,2
L338,20231216,2
L338,20231223,2
L339,20230225,2
L339,20230226,2
L339,20230304,2
L339,20230305,2
L339,20230311,2
L339,20230312,2
L339,20230318,2
L339,20230319,2
L339,20230325,2
L339,20230326,2
L339,20230401,2
L339,20230402,2
L339,20230408,2
L339,20230409,2
L339,20230429,2
L339,20230430,2
L339,20230506,2
L339,20230507,2
L339,20230513,2
L339,20230514,2
L339,20230520,2
L339,20230521,2
L339,20230527,2
L339,20230528,2
L339,20230603,2
L339,20230604,2
L339,20230610,2
L339,20230611,2
L339,20230617,2
L339,20230618,2
L339,20230624,2
L339,20230625,2
L339,20230701,2
L339,20230702,2
L339,20230708,2
L339,20230709,2
L339,20230715,2
L339,20230716,2
L339,20230722,2
L339,20230723,2
L339,20230729,2
L339,20230730,2
L339,20230805,2
L339,20230806,2
L339,20230812,2
L339,20230813,2
L339,20230819,2
L339,20230820,2
L339,20230826,2
L339,20230827,2
L339,20230902,2
L339,20230903,2
L339,20230909,2
L339,20230910,2
L339,20230916,2
L339,20230917,2
L339,20230923,2
L339,20230924,2
L339,20230930,2
L339,20231001,2
L339,20231007,2
L339,20231008,2
L339,20231014,2
L339,20231015,2
L339,20231021,2
L339,20231022,2
L339,20231111,2
L339,20231112,2
L339,20231118,2
L339,20231119,2
L339,20231125,2
L339,20231126,2
L339,20231202,2
L339,20231203,2
L339,20231209,2
L339,20231210,2
L339,20231216,2
L339,20231217,2
L339,20231223,2
L339,20231224,2
L340,20230220,2
L340,20230221,2
L340,20230222,2
L340,20230223,2
L340,20230224,2
L340,20230227,2
L340,20230228,2
L340,20230301,2
L340,20230302,2
L340,20230303,2
L340,20230306,2
L340,20230307,2
L340,20230308,2
L340,20230309,2
L340,20230310,2
L340,20230313,2
L340,20230314,2
L340,20230315,2
L340,20230316,2
L340,20230317,2
L340,20230320,2
L340,20230321,2
L340,20230322,2
L340,20230323,2
L340,20230324,2
L340,20230327,2
L340,20230328,2
L340,20230329,2
L340,20230330,2
L340,20230331,2
L340,20230403,2
L340,20230404,2
L340,20230405,2
L340,20230406,2
L340,20230407,2
L340,20230410,2
L340,20230424,2
L340,20230425,2
L340,20230426,2
L340,20230427,2
L340,20230428,2
L340,20230501,2
L340,20230502,2
L340,20230503,2
L340,20230504,2
L340,20230505,2
L340,20230508,2
L340,20230509,2
L340,20230510,2
L340,20230511,2
L340,20230512,2
L340,20230515,2
L340,20230516,2
L340,20230517,2
L340,20230518,2
L340,20230519,2
L340,20230522,2
L340,20230523,2
L340,20230524,2
L340,20230525,2
L340,20230526,2
L340,20230529,2
L340,20230530,2
L340,20230531,2
L340,20230601,2
L340,20230602,2
L340,20230605,2
L340,20230606,2
L340,20230607,2
L340,20230608,2
L340,20230609,2
L340,20230612,2
L340,20230613,2
L340,20230614,2
L340,20230615,2
L340,20230616,2
L340,20230619,2
L340,20230620,2
L340,20230621,2
L340,20230622,2
L340,20230623,2
L340,20230626,2
L340,20230627,2
L340,20230628,2
L340,20230629,2
L340,20230630,2
L340,20230703,2
L340,20230704,2
L340,20230705,2
L340,20230706,2
L340,20230707,2
L340,20230710,2
L340,20230711,2
L340,20230712,2
L340,20230713,2
L340,20230714,2
L340,20230717,2
