stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
MBIS01,,Gaztelu Xoko,Arcangues - Gaztelu Xoko,43.43320800,-1.51296300,,,0,place_MBIS,0,,MBIS01,Arcangues,MBIS01,Direction ~ Norabidea: Gare de Biarritz,64038
MBIS02,,Gaztelu Xoko,Arcangues - Gaztelu Xoko,43.43319700,-1.51277500,,,0,place_MBIS,0,,MBIS02,Arcangues,MBIS02,Direction ~ Norabidea: Bayonne Place des Basques,64038
GEND01,,Gendarmerie,Tarnos - Gendarmerie,43.54953700,-1.46076300,,,0,place_GEND,0,,GEND01,Tarnos,GEND01,Direction ~ Norabidea: Bayonne Marrac,40312
GEND02,,Gendarmerie,Tarnos - Gendarmerie,43.54955700,-1.46060900,,,0,place_GEND,0,,GEND02,Tarnos,GEND02,Direction ~ Norabidea: Tarnos Garròs,40312
GLCS01,,Glacis,Bayonne - Glacis,43.49081000,-1.48126300,,,0,place_GLCS,0,,GLCS01,Bayonne,GLCS01,Direction ~ Norabidea: Glain,64102
GLCS02,,Glacis,Bayonne - Glacis,43.49076000,-1.48128200,,,0,place_GLCS,0,,GLCS02,Bayonne,GLCS02,Direction ~ Norabidea: Champ de Foire,64102
GLAC01,,Glacière,Anglet - Glacière,43.47605900,-1.52762700,,,0,place_GLAC,0,,GLAC01,Anglet,GLAC01,Direction ~ Norabidea: Biarritz Aéroport/Bidart Izarbel,64024
GLAC02,,Glacière,Anglet - Glacière,43.47612800,-1.52742300,,,0,place_GLAC,0,,GLAC02,Anglet,GLAC02,Direction ~ Norabidea: Bayonne Sainsontan,64024
GLAI03,,Glain,Bayonne - Glain,43.48526300,-1.47294600,,,0,place_GLAI,0,,GLAI03,Bayonne,GLAI03,Direction ~ Norabidea: Champ de Foire,64102
GLIZ01,,Glize,Boucau - Glize,43.52806600,-1.47443800,,,0,place_GLIZ,0,,GLIZ01,Boucau,GLIZ01,Direction ~ Norabidea: Bayonne Lauga/Cassin/Marrac,64140
GLIZ02,,Glize,Boucau - Glize,43.52812900,-1.47444200,,,0,place_GLIZ,0,,GLIZ02,Boucau,GLIZ02,Direction ~ Norabidea: Tarnos La Plaine,64140
GOCH01,,Gochoa,Anglet - Gochoa,43.49288200,-1.52413300,,,0,place_GOCH,0,,GOCH01,Anglet,GOCH01,Direction ~ Norabidea: Biarritz Gare - Halle Iraty,64024
GOCH02,,Gochoa,Anglet - Gochoa,43.49279200,-1.52390300,,,0,place_GOCH,0,,GOCH02,Anglet,GOCH02,Direction ~ Norabidea: Gare de Bayonne Parvis,64024
GOLB01,,Golf,Biarritz - Golf,43.49061300,-1.54463300,,,0,place_GOLB,0,,GOLB01,Biarritz,GOLB01,Direction ~ Norabidea: Bidart Lore Lande,64122
GOLB02,,Golf,Biarritz - Golf,43.49069200,-1.54466800,,,0,place_GOLB,0,,GOLB02,Biarritz,GOLB02,Direction ~ Norabidea: Bayonne Place des Basques,64122
GOME01,,Gomez,Bayonne - Gomez,43.48706300,-1.45254200,,,0,place_GOME,0,,GOME01,Bayonne,GOME01,Direction ~ Norabidea: Anglet Chambre d'Amour,64102
GOME02,,Gomez,Bayonne - Gomez,43.48699500,-1.45263000,,,0,place_GOME,0,,GOME02,Bayonne,GOME02,Direction ~ Norabidea: Bayonne Haut de Bayonne,64102
GRAM02,,Grammont,Biarritz - Grammont,43.47431300,-1.55193400,,,0,place_GRAM,0,,GRAM02,Biarritz,GRAM02,Direction ~ Norabidea: Hippodrome,64122
GRAN01,,Grand Basque,Bayonne - Grand Basque,43.49019700,-1.45272800,,,0,place_GRAN,0,,GRAN01,Bayonne,GRAN01,Direction ~ Norabidea: Anglet Chambre d'Amour,64102
GRAN02,,Grand Basque,Bayonne - Grand Basque,43.49023500,-1.45295000,,,0,place_GRAN,0,,GRAN02,Bayonne,GRAN02,Direction ~ Norabidea: Bayonne Haut de Bayonne,64102
GRCH01,,Grand Champ,Anglet - Grand Champ,43.49114500,-1.52900000,,,0,place_GRCH,0,,GRCH01,Anglet,GRCH01,Direction ~ Norabidea: Biarritz Gare - Halle Iraty,64024
GRCH02,,Grand Champ,Anglet - Grand Champ,43.49128800,-1.52888000,,,0,place_GRCH,0,,GRCH02,Anglet,GRCH02,Direction ~ Norabidea: Gare de Bayonne Parvis,64024
GRDJ01,,Grand Jean,Tarnos - Grand Jean,43.55171300,-1.47132000,,,0,place_GRDJ,0,,GRDJ01,Tarnos,GRDJ01,,40312
GRDJ02,,Grand Jean,Tarnos - Grand Jean,43.55174300,-1.47123800,,,0,place_GRDJ,0,,GRDJ02,Tarnos,GRDJ02,Direction ~ Norabidea: Bayonne Lauga/Cassin/Marrac / Bayonne Villa Pia/Marrac,40312
CCIA01,,Grimau,Tarnos - Grimau,43.54664500,-1.48755200,,,0,place_CCIA,0,,CCIA01,Tarnos,CCIA01,Direction ~ Norabidea: Tarnos Castillon,40312
CCIA02,,Grimau,Tarnos - Grimau,43.54711200,-1.48785300,,,0,place_CCIA,0,,CCIA02,Tarnos,CCIA02,Direction ~ Norabidea: Tarnos Grimau,40312
GUEH02,,Guehetaldia,Bidart - Guehetaldia,43.43597300,-1.58625000,,,0,place_GUEH,0,,GUEH02,Bidart,GUEH02,Direction ~ Norabidea: Bayonne Technocité,64125
GUST01,,Gustave Eiffel,Bayonne - Gustave Eiffel,43.49015500,-1.46194200,,,0,place_GUST,0,,GUST01,Bayonne,GUST01,Direction ~ Norabidea: Anglet Chambre d'Amour,64102
GUST02,,Gustave Eiffel,Bayonne - Gustave Eiffel,43.48997200,-1.46209700,,,0,place_GUST,0,,GUST02,Bayonne,GUST02,Direction ~ Norabidea: Bayonne Haut de Bayonne,64102
GUYE01,,Guyenne,Tarnos - Guyenne,43.53583700,-1.48648200,,,0,place_GUYE,0,,GUYE01,Tarnos,GUYE01,Direction ~ Norabidea: Tarnos Square Mora,40312
GUYE02,,Guyenne,Tarnos - Guyenne,43.53592500,-1.48645200,,,0,place_GUYE,0,,GUYE02,Tarnos,GUYE02,Direction ~ Norabidea: Boucau Lacouture,40312
HABA01,,Habas La Plaine,Bayonne - Habas La Plaine,43.50711900,-1.46132200,,,0,place_HABA,0,,HABA01,Bayonne,HABA01,Direction ~ Norabidea: Biarritz Aéroport/Bidart Izarbel,64102
HABA02,,Habas La Plaine,Bayonne - Habas La Plaine,43.50667400,-1.46105500,,,0,place_HABA,0,,HABA02,Bayonne,HABA02,Direction ~ Norabidea: Bayonne Sainsontan,64102
IRAT01,,Halle Iraty,Biarritz - Halle Iraty,43.46595300,-1.53843300,,,0,place_IRAT,0,,IRAT01,Biarritz,IRAT01,Direction ~ Norabidea: Mairie de Bidart,64122
IRAT03,,Halle Iraty,Biarritz - Halle Iraty,43.46596500,-1.53817700,,,0,place_IRAT,0,,IRAT03,Biarritz,IRAT03,Direction ~ Norabidea: Gare de Bayonne Parvis / Bayonne Technocité,64122
HAME01,,Hameau,Bayonne - Hameau,43.49740000,-1.43584500,,,0,place_HAME,0,,HAME01,Bayonne,HAME01,Direction ~ Norabidea: Anglet Chambre d'Amour,64102
HAME02,,Hameau,Bayonne - Hameau,43.49743800,-1.43581800,,,0,place_HAME,0,,HAME02,Bayonne,HAME02,Direction ~ Norabidea: Bayonne Haut de Bayonne,64102
HBRD01,,Hameau de Brindos,Anglet - Hameau de Brindos,43.47340700,-1.51976500,,,0,place_HBRD,0,,HBRD01,Anglet,HBRD01,Direction ~ Norabidea: Anglet Redon/La Barre,64024
HBRD02,,Hameau de Brindos,Anglet - Hameau de Brindos,43.47331500,-1.51984500,,,0,place_HBRD,0,,HBRD02,Anglet,HBRD02,Direction ~ Norabidea: Biarritz Cité Scolaire,64024
HARA01,,Harambillet,Bayonne - Harambillet,43.49810600,-1.45315000,,,0,place_HARA,0,,HARA01,Bayonne,HARA01,Direction ~ Norabidea: Biarritz Aéroport/Bidart Izarbel,64102
HARA02,,Harambillet,Bayonne - Harambillet,43.49829600,-1.45349600,,,0,place_HARA,0,,HARA02,Bayonne,HARA02,Direction ~ Norabidea: Bayonne Sainsontan,64102
HARA03,,Haraout,Biarritz - Haraout,43.47826000,-1.54579700,,,0,place_HARA1,0,,HARA03,Biarritz,HARA03,Direction ~ Norabidea: Harispe,64122
HARC01,,Harcet,Biarritz - Harcet,43.46318400,-1.56248400,,,0,place_HARC,0,,HARC01,Biarritz,HARC01,Direction ~ Norabidea: Bidart Lore Lande,64122
HARC02,,Harcet,Biarritz - Harcet,43.46325800,-1.56277400,,,0,place_HARC,0,,HARC02,Biarritz,HARC02,Direction ~ Norabidea: Bayonne Place des Basques,64122
HARD01,,Hardoy,Anglet - Hardoy,43.49400500,-1.49720000,,,0,place_HARD,0,,HARD01,Anglet,HARD01,Direction ~ Norabidea: Anglet Chambre d'Amour,64024
HARD02,,Hardoy,Anglet - Hardoy,43.49400500,-1.49704300,,,0,place_HARD,0,,HARD02,Anglet,HARD02,Direction ~ Norabidea: Bayonne Haut de Bayonne,64024
HARG01,,Hargous,Bayonne - Hargous,43.50707300,-1.46348700,,,0,place_HARG,0,,HARG01,Bayonne,HARG01,Direction ~ Norabidea: Biarritz Aéroport/Bidart Izarbel,64102
HARG02,,Hargous,Bayonne - Hargous,43.50708700,-1.46326200,,,0,place_HARG,0,,HARG02,Bayonne,HARG02,Direction ~ Norabidea: Bayonne Sainsontan,64102
HRGN01,,Harguina,Mouguerre - Harguina,43.47922300,-1.43462500,,,0,place_HRGN,0,,HRGN01,Mouguerre,HRGN01,Direction ~ Norabidea: Mouguerre Cigaro,64407
HRGN02,,Harguina,Mouguerre - Harguina,43.47947300,-1.43481800,,,0,place_HRGN,0,,HRGN02,Mouguerre,HRGN02,Direction ~ Norabidea: Gare de Bayonne Parvis,64407
HRIS01,,Harispe,Biarritz - Harispe,43.47314100,-1.56634800,,,0,place_HRIS,0,,HRIS01,Biarritz,HRIS01,Direction ~ Norabidea: Haraout,64122
