,global_efficiency,local_efficiency,average_reachability,giant_component_ratio
1070,0.1345216904029496,0.4808247662699535,0.9919385710286693,0.9959529065489331
1805,0.13799155947943362,0.48126096224979076,1.0,1.0
2372,0.13796224902406926,0.4812885325040176,1.0,1.0
1287,0.13796081461168977,0.4812689147302334,1.0,1.0
1943,0.13795819490366232,0.4806237330133047,1.0,1.0
1925,0.13796128275436803,0.481338541018067,1.0,1.0
666,0.1379312630503735,0.48096570641768993,1.0,1.0
2218,0.13795839786570427,0.48128053472673066,1.0,1.0
1455,0.13714019338663253,0.481666248024032,1.0,1.0
995,0.13795891713350725,0.48142673545301407,1.0,1.0
1176,0.13796415480209348,0.4812782719995204,1.0,1.0
300,0.1379115926567901,0.48054043156552767,1.0,1.0
1041,0.13793901964766297,0.4813184224830538,1.0,1.0
2259,0.1362872796241483,0.48062276934791565,1.0,1.0
548,0.13220899882937778,0.48114741626234375,1.0,1.0
528,0.1379309890276111,0.48081233175341703,1.0,1.0
339,0.13796038842816025,0.48094629074443007,1.0,1.0
1886,0.1357830761545164,0.4796564258007628,1.0,1.0
963,0.13797869821296418,0.4808978720787211,1.0,1.0
2216,0.13796532156167163,0.4805620665973945,1.0,1.0
1220,0.13799431342986657,0.48132058797237154,1.0,1.0
434,0.1365980093107937,0.4799384611443866,0.9897513700124352,0.9948491537895512
1436,0.1379770681263911,0.48142507948690716,1.0,1.0
257,0.13608709080448814,0.48064705059077667,0.9824958944296103,0.9911699779249448
2373,0.13799574633765546,0.4812610495629434,1.0,1.0
1522,0.13799350825885082,0.4813029512880681,1.0,1.0
580,0.1377487562327164,0.4804551604764253,1.0,1.0
1473,0.13794734921699825,0.48039832199798627,1.0,1.0
618,0.13796247817580146,0.48130822499148507,1.0,1.0
2447,0.13790576466794804,0.4814288657100666,1.0,1.0
665,0.13796067919851834,0.48128634240538154,1.0,1.0
1352,0.1379816042340028,0.4816629462794421,1.0,1.0
1365,0.13800499669777666,0.4818857408179099,1.0,1.0
1446,0.13800419249399784,0.48113764172544005,1.0,1.0
2268,0.1379471521372644,0.4810885860472453,1.0,1.0
2267,0.13791365263893335,0.48071862447419317,1.0,1.0
2396,0.13797021676052154,0.481530087150998,1.0,1.0
1195,0.13788759904234107,0.4815607469498697,1.0,1.0
1646,0.13792968164245126,0.48128042101682894,1.0,1.0
1218,0.13777479604717607,0.4816107516218391,1.0,1.0
1115,0.13788686127196936,0.48114655948485574,1.0,1.0
1551,0.13777745518300447,0.48057485657361765,0.9985294125609082,0.9992641648270787
1617,0.13795462009177573,0.48091380647585064,1.0,1.0
1062,0.1379906041941351,0.4810882940491608,1.0,1.0
2343,0.13800531169581476,0.4812723239701297,1.0,1.0
2226,0.13787629814065347,0.481030974825175,1.0,1.0
1766,0.1375930749651625,0.48138277411737157,0.9955947351236569,0.9977924944812362
115,0.13798492152570999,0.4812623833071353,1.0,1.0
2350,0.13797343909270937,0.481536131511347,1.0,1.0
109,0.13723585654958748,0.4799596444247131,1.0,1.0
1208,0.1379562374227344,0.48149306179388435,1.0,1.0
1743,0.13746832581090979,0.4814577565709412,0.9955947351236569,0.9977924944812362
355,0.13796240768619558,0.48145067694465626,1.0,1.0
1048,0.1379210448692521,0.4813535875815625,1.0,1.0
948,0.13796374306255266,0.4813216830472664,1.0,1.0
694,0.1378903175948483,0.4810038055142603,1.0,1.0
962,0.1379800696473235,0.48166845884934023,1.0,1.0
895,0.13800840140440132,0.4816404624269362,1.0,1.0
892,0.1380158438013243,0.4816404624269362,1.0,1.0
777,0.13800324642793166,0.48170178202467967,1.0,1.0
183,0.13796655365513757,0.4815999852985267,1.0,1.0
1528,0.13800555863678476,0.48170178202467967,1.0,1.0
993,0.1379947073984374,0.48165170435318916,1.0,1.0
631,0.13789419595226426,0.4812760993055718,1.0,1.0
1150,0.13796560839137426,0.4811856152930864,1.0,1.0
378,0.1379967811446642,0.481297072679573,1.0,1.0
700,0.13799583325246412,0.48112333381929995,1.0,1.0
1837,0.13799752163481027,0.48089440732105776,1.0,1.0
1120,0.1379363026576382,0.48068432758153373,1.0,1.0
1279,0.1379679683653306,0.4808958801937486,1.0,1.0
637,0.13753331102038754,0.48154112577777697,1.0,1.0
2227,0.1379807611077586,0.4810624651009517,1.0,1.0
2469,0.1354316052136747,0.480521497929536,1.0,1.0
151,0.13725990630941087,0.48131955653207886,0.9912089625698846,0.9955849889624724
925,0.13799576200347666,0.48129911666616443,1.0,1.0
1718,0.13676474259681173,0.48136922588270487,0.9875690420768395,0.9937454010301693
1514,0.13780827386969774,0.4815705578035673,1.0,1.0
998,0.13798007992482245,0.48128231708686786,1.0,1.0
803,0.1379929556787059,0.4809527703388906,1.0,1.0
